gene_name	uniprot_url	uniprot_id
PGM1	https://www.uniprot.org/uniprotkb/P36871/entry	P36871
ZNF236	https://www.uniprot.org/uniprotkb/Q9UL36/entry	Q9UL36
TFRC	https://www.uniprot.org/uniprotkb/P02786/entry	P02786
RGS17	https://www.uniprot.org/uniprotkb/Q9UGC6/entry	Q9UGC6
ZBTB20	https://www.uniprot.org/uniprotkb/Q9HC78/entry	Q9HC78
PENK	https://www.uniprot.org/uniprotkb/P01210/entry	P01210
TOM1L2	https://www.uniprot.org/uniprotkb/Q6ZVM7/entry	Q6ZVM7
LCORL	https://www.uniprot.org/uniprotkb/Q8N3X6/entry	Q8N3X6
BEND3	https://www.uniprot.org/uniprotkb/Q5T5X7/entry	Q5T5X7
ZCCHC12	https://www.uniprot.org/uniprotkb/Q6PEW1/entry	Q6PEW1
FOXA2	https://www.uniprot.org/uniprotkb/Q9Y261/entry	Q9Y261
HORMAD1	https://www.uniprot.org/uniprotkb/Q86X24/entry	Q86X24
BRAF	https://www.uniprot.org/uniprotkb/P15056/entry	P15056
BCL2L11	https://www.uniprot.org/uniprotkb/O43521/entry	O43521
SPIN3	https://www.uniprot.org/uniprotkb/Q5JUX0/entry	Q5JUX0
FXYD2	https://www.uniprot.org/uniprotkb/P54710/entry	P54710
FAM49A	https://www.uniprot.org/uniprotkb/Q9H0Q0/entry	Q9H0Q0
NPC1	https://www.uniprot.org/uniprotkb/O15118/entry	O15118
SMEK1	https://www.uniprot.org/uniprotkb/Q6IN85/entry	Q6IN85
CELF4	https://www.uniprot.org/uniprotkb/Q9BZC1/entry	Q9BZC1
NEGR1	https://www.uniprot.org/uniprotkb/Q7Z3B1/entry	Q7Z3B1
DNM3	https://www.uniprot.org/uniprotkb/Q9UQ16/entry	Q9UQ16
AP3S2	https://www.uniprot.org/uniprotkb/P59780/entry	P59780
ABCA1	https://www.uniprot.org/uniprotkb/O95477/entry	O95477
NSD1	https://www.uniprot.org/uniprotkb/Q96L73/entry	Q96L73
MEF2C	https://www.uniprot.org/uniprotkb/Q06413/entry	Q06413
DHFRL1	https://www.uniprot.org/uniprotkb/Q86XF0/entry	Q86XF0
FOXK1	https://www.uniprot.org/uniprotkb/P85037/entry	P85037
PRKAG3	https://www.uniprot.org/uniprotkb/Q9UGI9/entry	Q9UGI9
FRMPD2	https://www.uniprot.org/uniprotkb/Q68DX3/entry	Q68DX3
MYO16	https://www.uniprot.org/uniprotkb/Q9Y6X6/entry	Q9Y6X6
CNTN4	https://www.uniprot.org/uniprotkb/Q8IWV2/entry	Q8IWV2
GAD2	https://www.uniprot.org/uniprotkb/Q05329/entry	Q05329
HHIP	https://www.uniprot.org/uniprotkb/Q96QV1/entry	Q96QV1
ARVCF	https://www.uniprot.org/uniprotkb/O00192/entry	O00192
METTL4	https://www.uniprot.org/uniprotkb/Q8N3J2/entry	Q8N3J2
PCDH9	https://www.uniprot.org/uniprotkb/Q9HC56/entry	Q9HC56
CTTNBP2	https://www.uniprot.org/uniprotkb/Q8WZ74/entry	Q8WZ74
DYNC2H1	https://www.uniprot.org/uniprotkb/Q8NCM8/entry	Q8NCM8
PRDM5	https://www.uniprot.org/uniprotkb/Q9NQX1/entry	Q9NQX1
SH3YL1	https://www.uniprot.org/uniprotkb/Q96HL8/entry	Q96HL8
SOS2	https://www.uniprot.org/uniprotkb/Q07890/entry	Q07890
ARPP21	https://www.uniprot.org/uniprotkb/Q9DCB4/entry	Q9DCB4
NRP1	https://www.uniprot.org/uniprotkb/O14786/entry	O14786
AZIN1	https://www.uniprot.org/uniprotkb/O14977/entry	O14977
TMEM37	https://www.uniprot.org/uniprotkb/Q9JJV3/entry	Q9JJV3
MNX1	https://www.uniprot.org/uniprotkb/P50219/entry	P50219
POU3F3	https://www.uniprot.org/uniprotkb/P20264/entry	P20264
SIRPA	https://www.uniprot.org/uniprotkb/P78324/entry	P78324
PTP4A1	https://www.uniprot.org/uniprotkb/Q93096/entry	Q93096
YBX3	https://www.uniprot.org/uniprotkb/P16989/entry	P16989
AR	https://www.uniprot.org/uniprotkb/P10275/entry	P10275
C18orf8	https://www.uniprot.org/uniprotkb/Q96DM3/entry	Q96DM3
TPBG	https://www.uniprot.org/uniprotkb/Q13641/entry	Q13641
ETS2	https://www.uniprot.org/uniprotkb/P15036/entry	P15036
ZNF239	https://www.uniprot.org/uniprotkb/Q16600/entry	Q16600
JAG1	https://www.uniprot.org/uniprotkb/P78504/entry	P78504
IDH3G	https://www.uniprot.org/uniprotkb/P51553/entry	P51553
CPA1	https://www.uniprot.org/uniprotkb/P15085/entry	P15085
LIN7A	https://www.uniprot.org/uniprotkb/O14910/entry	O14910
TWIST2	https://www.uniprot.org/uniprotkb/Q8WVJ9/entry	Q8WVJ9
PLD5	https://www.uniprot.org/uniprotkb/Q8N7P1/entry	Q8N7P1
VCAN	https://www.uniprot.org/uniprotkb/P13611/entry	P13611
SCGB1C1	https://www.uniprot.org/uniprotkb/Q8TD33/entry	Q8TD33
CRH	https://www.uniprot.org/uniprotkb/P06850/entry	P06850
